fPort;data;object
16;1000000000A30CAA00A20BAA00A20EAA00A620AA;{"type":"measurement","prodId":0,"alarm0":0,"alarm1":0,"alarm2":0,"ullage0":163,"temperature0":12,"sonicrssi0":10,"sonicsrc0":10,"ullage1":162,"temperature1":11,"sonicrssi1":10,"sonicsrc1":10,"ullage2":162,"temperature2":14,"sonicrssi2":10,"sonicsrc2":10,"ullage3":166,"temperature3":32,"sonicrssi3":10,"sonicsrc3":10,"series":[{"_timeShift":0,"alarm0":0,"alarm1":0,"alarm2":0,"ullage":163,"temperature":12,"sonicrssi":10,"sonicsrc":10},{"_timeShift":-21600,"ullage":162,"temperature":11,"sonicrssi":10,"sonicsrc":10},{"_timeShift":-43200,"ullage":162,"temperature":14,"sonicrssi":10,"sonicsrc":10},{"_timeShift":-64800,"ullage":166,"temperature":32,"sonicrssi":10,"sonicsrc":10}]}
16;1000000000A20BAA00A20EAA00A620AA00A30CAA;{"type":"measurement","prodId":0,"alarm0":0,"alarm1":0,"alarm2":0,"ullage0":162,"temperature0":11,"sonicrssi0":10,"sonicsrc0":10,"ullage1":162,"temperature1":14,"sonicrssi1":10,"sonicsrc1":10,"ullage2":166,"temperature2":32,"sonicrssi2":10,"sonicsrc2":10,"ullage3":163,"temperature3":12,"sonicrssi3":10,"sonicsrc3":10,"series":[{"_timeShift":0,"alarm0":0,"alarm1":0,"alarm2":0,"ullage":162,"temperature":11,"sonicrssi":10,"sonicsrc":10},{"_timeShift":-21600,"ullage":162,"temperature":14,"sonicrssi":10,"sonicsrc":10},{"_timeShift":-43200,"ullage":166,"temperature":32,"sonicrssi":10,"sonicsrc":10},{"_timeShift":-64800,"ullage":163,"temperature":12,"sonicrssi":10,"sonicsrc":10}]}
48;3000000201083700380064016806000D1753;
16;1000000000A30CAA00A410AA00A824AA00A30CAA;
16,100000000033173A0033173A0000000000000000;{"alarm0":0,"alarm1":0,"alarm2":0,"prodId":0,"series":[{"_timeShift":0,"alarm0":0,"alarm1":0,"alarm2":0,"sonicrssi":3,"sonicsrc":10,"temperature":23,"ullage":51},{"_timeShift":-21600,"sonicrssi":3,"sonicsrc":10,"temperature":23,"ullage":51},{"_timeShift":-43200,"sonicrssi":0,"sonicsrc":0,"temperature":0,"ullage":0},{"_timeShift":-64800,"sonicrssi":0,"sonicsrc":0,"temperature":0,"ullage":0}],"sonicrssi0":3,"sonicrssi1":3,"sonicrssi2":0,"sonicrssi3":0,"sonicsrc0":10,"sonicsrc1":10,"sonicsrc2":0,"sonicsrc3":0,"temperature0":23,"temperature1":23,"temperature2":0,"temperature3":0,"type":"measurement","ullage0":51,"ullage1":51,"ullage2":0,"ullage3":0}
